start_row,end_row,subject_id,row_count
0,52,01,53
53,116,02,64
117,186,03,70
187,248,04,62
249,315,05,67
316,379,06,64
380,447,07,68
448,509,08,62
510,567,09,58
568,638,10,71
639,704,11,66
705,770,12,66
771,839,13,69
840,909,14,70
910,982,15,73
983,1055,16,73
1056,1128,17,73
1129,1198,18,70
1199,1270,19,72
1271,1339,20,69
1340,1403,21,64
1404,1476,22,73
1477,1550,23,74
1551,1620,24,70
1621,1693,25,73
1694,1767,26,74
1768,1841,27,74
1842,1899,28,58
1900,1973,29,74
1974,2046,30,73
2047,2117,31,71
2118,2188,32,71
2189,2260,33,72
2261,2333,34,73
2334,2406,35,73
2407,2478,36,72
2479,2543,37,65
2544,2615,38,72
2616,2689,39,74
2690,2759,40,70
2760,2826,41,67
2827,2893,42,67
2894,2963,43,70
2964,3019,44,56
3020,3092,45,73
3093,3152,46,60
3153,3224,47,72
3225,3295,48,71
3296,3368,49,73
3369,3440,50,72
3441,3507,51,67
3508,3586,52,79
3587,3658,53,72
3659,3721,54,63
3722,3794,55,73
3795,3866,56,72
3867,3922,57,56
3923,3984,58,62
3985,4045,59,61
4046,4112,60,67
4113,4186,61,74
4187,4252,62,66
4253,4325,63,73
4326,4395,64,70
4396,4450,65,55
4451,4519,66,69
4520,4591,67,72
4592,4664,68,73
4665,4734,69,70
4735,4803,70,69
4804,4875,71,72
