file_name,subject,data_type,n_epochs,n_channels,sfreq,tmin,tmax,epoch_duration_sec,n_times,duration_sec,n_events,unique_event_ids,status,error
sub-01_ses-1.set,sub-01,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-01_ses-2.set,sub-01,epochs,54,61,500.0,0.0,3.998,3.998,2000,4.0,54,1,ok,
sub-02_ses-1.set,sub-02,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-02_ses-2.set,sub-02,epochs,64,61,500.0,0.0,3.998,3.998,2000,4.0,64,1,ok,
sub-03_ses-1.set,sub-03,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-03_ses-2.set,sub-03,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-04_ses-1.set,sub-04,epochs,4,61,500.0,0.0,3.998,3.998,2000,4.0,4,1,ok,
sub-04_ses-2.set,sub-04,epochs,62,61,500.0,0.0,3.998,3.998,2000,4.0,62,1,ok,
sub-05_ses-1.set,sub-05,epochs,65,61,500.0,0.0,3.998,3.998,2000,4.0,65,1,ok,
sub-05_ses-2.set,sub-05,epochs,67,61,500.0,0.0,3.998,3.998,2000,4.0,67,1,ok,
sub-06_ses-1.set,sub-06,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-06_ses-2.set,sub-06,epochs,64,61,500.0,0.0,3.998,3.998,2000,4.0,64,1,ok,
sub-07_ses-1.set,sub-07,epochs,63,61,500.0,0.0,3.998,3.998,2000,4.0,63,1,ok,
sub-07_ses-2.set,sub-07,epochs,68,61,500.0,0.0,3.998,3.998,2000,4.0,68,1,ok,
sub-08_ses-1.set,sub-08,epochs,65,61,500.0,0.0,3.998,3.998,2000,4.0,65,1,ok,
sub-08_ses-2.set,sub-08,epochs,62,61,500.0,0.0,3.998,3.998,2000,4.0,62,1,ok,
sub-09_ses-1.set,sub-09,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-09_ses-2.set,sub-09,epochs,58,61,500.0,0.0,3.998,3.998,2000,4.0,58,1,ok,
sub-10_ses-1.set,sub-10,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-10_ses-2.set,sub-10,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-11_ses-1.set,sub-11,epochs,64,61,500.0,0.0,3.998,3.998,2000,4.0,64,1,ok,
sub-11_ses-2.set,sub-11,epochs,66,61,500.0,0.0,3.998,3.998,2000,4.0,66,1;2;3;4,ok,
sub-12_ses-1.set,sub-12,epochs,57,61,500.0,0.0,3.998,3.998,2000,4.0,57,1,ok,
sub-12_ses-2.set,sub-12,epochs,66,61,500.0,0.0,3.998,3.998,2000,4.0,66,1,ok,
sub-13_ses-1.set,sub-13,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-13_ses-2.set,sub-13,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-14_ses-1.set,sub-14,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-14_ses-2.set,sub-14,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-15_ses-1.set,sub-15,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-15_ses-2.set,sub-15,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-16_ses-1.set,sub-16,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-16_ses-2.set,sub-16,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-17_ses-1.set,sub-17,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-17_ses-2.set,sub-17,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-18_ses-1.set,sub-18,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-18_ses-2.set,sub-18,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-19_ses-1.set,sub-19,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-19_ses-2.set,sub-19,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-20_ses-1.set,sub-20,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-20_ses-2.set,sub-20,epochs,69,61,500.0,0.0,3.998,3.998,2000,4.0,69,1,ok,
sub-21_ses-1.set,sub-21,epochs,63,61,500.0,0.0,3.998,3.998,2000,4.0,63,1,ok,
sub-21_ses-2.set,sub-21,epochs,64,61,500.0,0.0,3.998,3.998,2000,4.0,64,1,ok,
sub-22_ses-1.set,sub-22,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-22_ses-2.set,sub-22,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-23_ses-1.set,sub-23,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-23_ses-2.set,sub-23,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-24_ses-1.set,sub-24,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-24_ses-2.set,sub-24,epochs,70,61,500.0,0.0,3.998,3.998,2000,4.0,70,1,ok,
sub-25_ses-1.set,sub-25,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-25_ses-2.set,sub-25,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-26_ses-1.set,sub-26,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-26_ses-2.set,sub-26,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-27_ses-1.set,sub-27,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-27_ses-2.set,sub-27,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-28_ses-1.set,sub-28,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-28_ses-2.set,sub-28,epochs,58,61,500.0,0.0,3.998,3.998,2000,4.0,58,1,ok,
sub-29_ses-1.set,sub-29,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-29_ses-2.set,sub-29,epochs,74,61,500.0,0.0,3.998,3.998,2000,4.0,74,1,ok,
sub-30_ses-1.set,sub-30,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-30_ses-2.set,sub-30,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-31_ses-1.set,sub-31,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-31_ses-2.set,sub-31,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-32_ses-1.set,sub-32,epochs,68,61,500.0,0.0,3.998,3.998,2000,4.0,68,1,ok,
sub-32_ses-2.set,sub-32,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-33_ses-1.set,sub-33,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-33_ses-2.set,sub-33,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-34_ses-1.set,sub-34,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-34_ses-2.set,sub-34,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-35_ses-1.set,sub-35,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-35_ses-2.set,sub-35,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-36_ses-1.set,sub-36,epochs,73,61,500.0,0.0,3.998,3.998,2000,4.0,73,1,ok,
sub-36_ses-2.set,sub-36,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
sub-37_ses-1.set,sub-37,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-37_ses-2.set,sub-37,epochs,65,61,500.0,0.0,3.998,3.998,2000,4.0,65,1,ok,
sub-38_ses-1.set,sub-38,epochs,71,61,500.0,0.0,3.998,3.998,2000,4.0,71,1,ok,
sub-38_ses-2.set,sub-38,epochs,72,61,500.0,0.0,3.998,3.998,2000,4.0,72,1,ok,
