start_row,end_row,subject_id,row_count
0,68,01,69
69,138,02,70
139,211,03,73
212,215,04,4
216,280,05,65
281,354,06,74
355,417,07,63
418,482,08,65
483,551,09,69
552,620,10,69
621,684,11,64
685,741,12,57
742,813,13,72
814,884,14,71
885,957,15,73
958,1029,16,72
1030,1102,17,73
1103,1175,18,73
1176,1247,19,72
1248,1321,20,74
1322,1384,21,63
1385,1457,22,73
1458,1531,23,74
1532,1603,24,72
1604,1676,25,73
1677,1749,26,73
1750,1822,27,73
1823,1896,28,74
1897,1968,29,72
1969,2041,30,73
2042,2114,31,73
2115,2182,32,68
2183,2255,33,73
2256,2327,34,72
2328,2400,35,73
2401,2473,36,73
2474,2544,37,71
2545,2615,38,71
2616,2686,39,71
2687,2759,40,73
2760,2828,41,69
2829,2899,42,71
2900,2969,43,70
2970,3042,44,73
3043,3110,45,68
3111,3180,46,70
3181,3253,47,73
3254,3327,48,74
3328,3400,49,73
3401,3470,50,70
3471,3540,51,70
3541,3612,52,72
3613,3684,53,72
3685,3755,54,71
3756,3829,55,74
3830,3901,56,72
3902,3972,57,71
3973,4044,58,72
4045,4115,59,71
4116,4175,60,60
4176,4249,61,74
4250,4320,62,71
4321,4388,63,68
4389,4457,64,69
4458,4531,65,74
4532,4596,66,65
4597,4670,67,74
4671,4743,68,73
4744,4816,69,73
4817,4886,70,70
4887,4956,71,70
