model,test_subject,seed,dir,has_best_pt,sha256_best_pt,has_normalization_npz,sha256_normalization_npz,has_result_json,sha256_result_json,has_predictions_csv,sha256_predictions_csv,has_history_csv,sha256_history_csv,has_model_architecture_txt,sha256_model_architecture_txt,has_split_json,sha256_split_json,legacy_best_epoch,legacy_epochs_run,legacy_val_subject_macro_ba,legacy_test_balanced_accuracy,legacy_test_n_segments
eegnet,sub-01,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-01/seed_0,True,06408820fd7926c47c3be60cc54d0a5b0a5d1b5205a682c10290324e66802726,True,0b6744baaf7cf4a6cab272a6487edd2b5b75fb38d5cf6b32f9fa146a7a9a214c,True,0f0a3f0fcff82d954f5052a93b21d54b6c1e184d9e9499c61c02ccd257891187,True,c0f32ac3f261cd0849f4cef0ef28ea1d00802e04de1007dcc4f385ea19de1154,True,fe2d73979fb14f508350b0270ac1242d02047b4ba670bd9234a2fd102fab1802,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,809b271a5990299e2f8f15f1e3d217fa9150c975a874d050b30578571ea5e342,2,12,0.544943632607138,0.47665056360708535,123
eegnet,sub-01,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-01/seed_1,True,da5b73a4e3a944b6685830f114cce7f932f5a52aea7796560fffc82569ae3746,True,0b6744baaf7cf4a6cab272a6487edd2b5b75fb38d5cf6b32f9fa146a7a9a214c,True,bee0e8f92a96a75c4611b60dc1d6ac929fe90e2b872de1f8af8c93f8091b6aa7,True,b9ff9ea0612e97803ce76166f63c0caf6be0e2ac8fb3c478df2eac514eaf04dd,True,fcc51928540db48fbee086e5e774d514ac482915e0777014951fd6cab5914c76,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,809b271a5990299e2f8f15f1e3d217fa9150c975a874d050b30578571ea5e342,4,14,0.5336551460916007,0.4428341384863124,123
eegnet,sub-01,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-01/seed_2,True,1d7e6662a9e661ed90b96e1b5a6fc9044162dc946a086b8c4508d30f8d4ec82d,True,0b6744baaf7cf4a6cab272a6487edd2b5b75fb38d5cf6b32f9fa146a7a9a214c,True,e9cd8b96f19839b6fa8638875997b39fac0da7723903bfe0c8e264f142cea2f0,True,2042146cbd7b3e65ab145ad2ac89d64003b74c42402b49ab4a49f54fff44950b,True,210ed3c391f5e6703c2cf3ea3d80d698eee17ff5077483aa10cc3305e192b643,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,809b271a5990299e2f8f15f1e3d217fa9150c975a874d050b30578571ea5e342,8,18,0.5333881539048857,0.41505636070853463,123
eegnet,sub-02,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-02/seed_0,True,38765cd365c7d3fb6a9747bac4c82f8a9f98c5c7b03580dfd5145f05d2affa11,True,7d228314d5013e6e2d22cc7224202f09dd5558835469f7562cc995f0ac0b7d3a,True,62b735d2dd6dafc398d2130e7ed03e95494e382c9ed10404bebfaf328f2e2390,True,1c63460ebe76819848660ca1796ac80fdfb879b826df861f252a68205bd8836f,True,841368d97b4f0567813938cf63b396d7d2dabdd75eb19f6c83500672d26ba212,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,092e471d1c0aef8d90e25db1d356b2a9ade9472240388b7fbab44e9ff4538eab,3,13,0.6249189148706097,0.5243303571428571,134
eegnet,sub-02,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-02/seed_1,True,d72ffef19eaaea9d7c18468201f51afd15e1251c77354adc819d736f23feb42a,True,7d228314d5013e6e2d22cc7224202f09dd5558835469f7562cc995f0ac0b7d3a,True,e8badb12afbc6537f3d8f8abd406ad7caff4a98ab3763466c042874a36cfe39e,True,e675e9217004906a89c02340dc9d3dc358f9c19e0e935bc3e902268581dd4a3d,True,c627a29a464acc51ea31834dfd15dc5e21147123abe69e6b7d3d86b2a40dcbcf,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,092e471d1c0aef8d90e25db1d356b2a9ade9472240388b7fbab44e9ff4538eab,11,21,0.6466696150208306,0.5654017857142857,134
eegnet,sub-02,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-02/seed_2,True,1a994d836df2a3f1451927926a39aea30cb1bdf582cadd4eaa9fb8fbd79b47fe,True,7d228314d5013e6e2d22cc7224202f09dd5558835469f7562cc995f0ac0b7d3a,True,18ca0ce41d68c964b0b876c50164ead22d92044746fbebe7a1ce3fd6442a631e,True,35be18ecf0f04e93669137f7f85ccefe969ae7d0cc46299928ca4dd7ba70eb9d,True,49e5f4d0bb4870a43d46adeb80c838e5db8d81a0603e56cfba3b24561a457159,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,092e471d1c0aef8d90e25db1d356b2a9ade9472240388b7fbab44e9ff4538eab,16,26,0.6436528933590608,0.6908482142857143,134
eegnet,sub-03,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-03/seed_0,True,81bb08ec4132425b454a264e35ae8ab99c91771daa5e0e9c769ff9b6896f3b38,True,f71fdceaf45c3bf99e48708993e5af7ee111885d3d6bacc2d027b57f9a035601,True,71eaf603e8fbe0b3c810f8fb6056d58570ba782b9ed7de89386f13f0fde37e27,True,1657c48d014a33a2b6d737fcd0e2aa26de45742304349c838c6f709cac23eefe,True,b6d0e943fffc6e6cbfcfb17605171320093fbe9b023dc2db538857414bdad0c7,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,2f634f77404f7085d037d252e494d7a817c0f28608b94554f66a4430931b1757,3,13,0.6008588149758995,0.6853228962818003,143
eegnet,sub-03,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-03/seed_1,True,71179a16a12ecd43972bedf603b649fe636851280a3e9d60270963c97675f6d6,True,f71fdceaf45c3bf99e48708993e5af7ee111885d3d6bacc2d027b57f9a035601,True,216d2043d55ac5a737c71ae1e3ec4848eda0d390f698ca9da73b48b33d954c7e,True,77e29155f9763f6e50ef11d6c34a5f5f210e944d452b73aa1507f25dcd307108,True,4290b03a251e489add26e30ac3cd6bc224b1352e9d169df10cab043819bc5a9f,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,2f634f77404f7085d037d252e494d7a817c0f28608b94554f66a4430931b1757,12,22,0.5740527973230318,0.8681017612524462,143
eegnet,sub-03,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-03/seed_2,True,e9add934688baa968ee9ad1b43a1b09a73a3126ad0b158f4c50b18c2c0025fa8,True,f71fdceaf45c3bf99e48708993e5af7ee111885d3d6bacc2d027b57f9a035601,True,5d8e443648ec226dab6f9754a0dd60b7c0a21f69a8602578726738c949c91781,True,f69224721d80347087075ce1ee9cba8e5a01616ed6d6fc48b12a76371e5b2491,True,6246b7062477efbf5cb56514e9873af38ec11505d299e413a7a289edfa627d3a,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,2f634f77404f7085d037d252e494d7a817c0f28608b94554f66a4430931b1757,2,12,0.590292247618322,0.6703522504892367,143
eegnet,sub-04,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-04/seed_0,True,1303dceb9f138cf72b1d0e694b4f9f5efc4d9fa0b87dfdb222dc9e88ab9b2f9a,True,5e7524c0cee6a6b8048bbd85bb54a7c40eee5db988999130bf72be188af1119f,True,def19c5d74f06b09f09901a294c458af94608ef561d8e6bab618cac89ad03e30,True,c1cf7d587bf98dbc59e89842caafc1813362d3c7f7932db2d43c1fa9682d49f8,True,f25a68d2abf5309e563ebfc5153e53739999d5929ed7f09c67aba46004d3a60b,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,f0ec1899c87680213f0e3749af73502c680e10341bf3e2ddceb6144ad711e910,4,14,0.6121956092789708,0.4032258064516129,66
