subject,visit_pair,n_windows,share_ses2_SD,n_batches,batch_size,final_batch_size_first_visit,final_batch_size_second_visit,n_batches_of_size_1,delta_bacc_source,delta_bacc_bn_only,delta_bacc_tent_literal,delta_bacc_tent_det,delta_dominant_source,delta_dominant_bn_only,delta_dominant_tent_literal,delta_dominant_tent_det
sub-01,ses-1->ses-2,123,0.43902439024390244,5,32,5,22,0,0.0,0.06052066559312935,0.054347826086956486,0.06360708534621567,,-0.2353086826447961,-0.23376063667378855,-0.23505554589527566
sub-02,ses-1->ses-2,134,0.47761194029850745,5,32,6,32,0,0.0,-0.04174107142857153,-0.05647321428571439,-0.04694940476190479,,-0.1373434958174281,-0.13809675595985027,-0.13687906002572459
sub-03,ses-1->ses-2,143,0.48951048951048953,6,32,9,6,0,0.0,-0.2973907371167644,-0.26037181996086095,-0.295009784735812,,-0.2886237812538941,-0.3166009129749404,-0.288364190608263
sub-04,ses-1->ses-2,66,0.9393939393939394,3,32,4,30,0,0.0,0.010752688172043001,0.0,0.013440860215053752,,,,
sub-05,ses-1->ses-2,132,0.5075757575757576,6,32,1,3,1,0.0,0.1493685419058553,0.14401071565250673,0.1493685419058553,,-0.27030930502547157,-0.2828285387820668,-0.27298606683810545
sub-06,ses-1->ses-2,138,0.463768115942029,5,32,10,32,0,0.0,-0.09515765765765755,-0.10297015765765755,-0.09740990990990989,,-0.19158886776131112,-0.18958535628674633,-0.1934632635966409
sub-07,ses-1->ses-2,131,0.5190839694656488,5,32,31,4,0,0.0,-0.3497121070650482,-0.32893713040771866,-0.3497121070650482,,-0.2988565365473429,-0.29824132968982053,-0.2977553543945153
sub-08,ses-2->ses-1,127,0.4881889763779528,5,32,30,1,1,0.0,0.03345740281224158,0.03308519437551699,0.03345740281224158,,-0.06597017745176958,-0.09744250277678179,-0.06914712488651276
sub-09,ses-2->ses-1,127,0.4566929133858268,5,32,26,5,0,0.0,0.004830917874396101,-0.007579543561552493,0.002415458937198023,,-0.4755415767431259,-0.4244421501954396,-0.4731124699115752
sub-10,ses-2->ses-1,140,0.5071428571428571,6,32,7,5,0,0.0,-0.1306389058991631,-0.12359665237803635,-0.12829148805878748,,-0.07428605556488044,-0.07086034218470261,-0.0687095701694489
sub-11,ses-2->ses-1,130,0.5076923076923077,5,32,2,32,0,0.0,0.030381944444444364,0.02051767676767674,0.027777777777777735,,-0.11861704607751256,-0.11863007177695784,-0.11724629566500266
sub-12,ses-2->ses-1,123,0.5365853658536586,5,32,2,25,0,0.0,0.07203615098351945,0.07668793195108997,0.07788410419989372,,-0.029894164601961704,-0.03107633799314491,-0.02755550036827714
sub-13,ses-2->ses-1,141,0.48936170212765956,6,32,5,8,0,0.0,-0.27083333333333337,-0.2681159420289855,-0.277878421900161,,-0.2681227480061352,-0.26175178913399577,-0.26490775852774584
sub-14,ses-2->ses-1,141,0.49645390070921985,6,32,6,7,0,0.0,-0.24714956405097266,-0.2659959758551309,-0.24949698189134817,,-0.21470845171383446,-0.2038968876004219,-0.2138434552720616
sub-15,ses-2->ses-1,146,0.5,6,32,9,9,0,0.0,-0.06621004566210043,-0.05251141552511407,-0.06621004566210043,,-0.0937021134401489,-0.09980644342276379,-0.09872970767298306
sub-16,ses-2->ses-1,145,0.503448275862069,6,32,9,8,0,0.0,-0.07182267884322685,-0.0627219685438864,-0.07410578386605787,,-0.13346679198245204,-0.14396406151354313,-0.13090299131969607
sub-17,ses-2->ses-1,146,0.5,6,32,9,9,0,0.0,-0.2899543378995434,-0.2762557077625571,-0.2876712328767124,,0.01143602414500755,-0.004892448168700825,0.009574129742287774
sub-18,ses-2->ses-1,143,0.48951048951048953,6,32,6,9,0,0.0,-0.07041748206131776,-0.06327462491846064,-0.07051532941943905,,-0.026303147138268756,-0.019701000441003758,-0.02144066423729618
sub-19,ses-2->ses-1,144,0.5,6,32,8,8,0,0.0,-0.018518518518518545,-0.027777777777777846,-0.018518518518518434,,-0.30631844202677405,-0.3163792019089062,-0.30336952892442537
sub-20,ses-2->ses-1,143,0.4825174825174825,6,32,5,10,0,0.0,-0.1745005875440659,-0.14698394046220142,-0.1722483352918136,,0.011527927716572961,-7.193287213658195e-06,0.01289279311895375
sub-21,ses-2->ses-1,127,0.5039370078740157,4,32,32,31,0,0.0,-0.16761739417989419,-0.18605324074074076,-0.17026289682539686,,-0.025786682144865236,-0.0180349853617372,-0.02201014245695676
sub-22,ses-2->ses-1,146,0.5,6,32,9,9,0,0.0,-0.2511415525114155,-0.2785388127853881,-0.2534246575342466,,-0.0060217301878664475,0.005237372730065193,-0.004395555290910957
sub-23,ses-1->ses-2,148,0.5,6,32,10,10,0,0.0,-0.04279279279279291,-0.04054054054054057,-0.03828828828828845,,-0.0925183661282063,-0.06861717849969873,-0.09279653653502473
sub-24,ses-2->ses-1,142,0.49295774647887325,6,32,6,8,0,0.0,-0.31706349206349216,-0.3146164021164021,-0.319378306878307,,-0.11314769865324104,-0.08392554055899382,-0.11012091301381588
sub-25,ses-2->ses-1,146,0.5,6,32,9,9,0,0.0,-0.2420091324200912,-0.25799086757990863,-0.2374429223744292,,-0.20372877238939213,-0.18547438550956075,-0.20194997847580398
