subject,visit_pair,batch_position_in_visit,ses-1_n_windows,ses-1_n_batches,ses-1_batch_size_at_0,ses-2_n_windows,ses-2_n_batches,ses-2_batch_size_at_0,ses-1_batch_size_at_1,ses-2_batch_size_at_1,ses-1_batch_size_at_2,ses-2_batch_size_at_2
sub-01,ses-1->ses-2,0,69,3,32,54,2,32,,,,
sub-01,ses-1->ses-2,1,69,3,,54,2,,32,22,,
sub-01,ses-1->ses-2,2,69,3,,54,2,,,,5,
sub-02,ses-1->ses-2,0,70,3,32,64,2,32,,,,
sub-02,ses-1->ses-2,1,70,3,,64,2,,32,32,,
sub-02,ses-1->ses-2,2,70,3,,64,2,,,,6,
sub-03,ses-1->ses-2,0,73,3,32,70,3,32,,,,
sub-03,ses-1->ses-2,1,73,3,,70,3,,32,32,,
sub-03,ses-1->ses-2,2,73,3,,70,3,,,,9,6
sub-04,ses-1->ses-2,0,4,1,4,62,2,32,,,,
sub-04,ses-1->ses-2,1,4,1,,62,2,,,30,,
sub-05,ses-1->ses-2,0,65,3,32,67,3,32,,,,
sub-05,ses-1->ses-2,1,65,3,,67,3,,32,32,,
sub-05,ses-1->ses-2,2,65,3,,67,3,,,,1,3
sub-06,ses-1->ses-2,0,74,3,32,64,2,32,,,,
sub-06,ses-1->ses-2,1,74,3,,64,2,,32,32,,
sub-06,ses-1->ses-2,2,74,3,,64,2,,,,10,
sub-07,ses-1->ses-2,0,63,2,32,68,3,32,,,,
sub-07,ses-1->ses-2,1,63,2,,68,3,,31,32,,
sub-07,ses-1->ses-2,2,63,2,,68,3,,,,,4
sub-08,ses-2->ses-1,0,65,3,32,62,2,32,,,,
sub-08,ses-2->ses-1,1,65,3,,62,2,,32,30,,
sub-08,ses-2->ses-1,2,65,3,,62,2,,,,1,
sub-09,ses-2->ses-1,0,69,3,32,58,2,32,,,,
sub-09,ses-2->ses-1,1,69,3,,58,2,,32,26,,
sub-09,ses-2->ses-1,2,69,3,,58,2,,,,5,
