subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-01,0,bn_only,metadata_order,0.4634146341463415,0.465378421900161,0.4406779661016949,0.4685990338164251,123,54,64,"[[31, 38], [28, 26]]"
sub-02,0,bn_only,metadata_order,0.5373134328358209,0.5370535714285714,0.5230769230769231,0.5024553571428572,134,64,66,"[[38, 32], [30, 34]]"
sub-03,0,bn_only,metadata_order,0.44755244755244755,0.4480430528375734,0.45517241379310347,0.44207436399217226,143,70,75,"[[31, 42], [37, 33]]"
sub-04,0,bn_only,metadata_order,0.42424242424242425,0.22580645161290322,0.5957446808510638,0.3185483870967742,66,62,32,"[[0, 4], [34, 28]]"
sub-05,0,bn_only,metadata_order,0.5606060606060606,0.5602755453501722,0.5735294117647058,0.5336394948335247,132,67,69,"[[35, 30], [28, 39]]"
sub-06,0,bn_only,metadata_order,0.463768115942029,0.46727195945945943,0.4714285714285714,0.4727618243243243,138,64,76,"[[31, 43], [31, 33]]"
sub-07,0,bn_only,metadata_order,0.4961832061068702,0.49603174603174605,0.5074626865671642,0.5028011204481793,131,68,66,"[[31, 32], [34, 34]]"
sub-08,0,bn_only,metadata_order,0.4881889763779528,0.48697270471464016,0.453781512605042,0.4836228287841191,127,62,57,"[[35, 30], [35, 27]]"
sub-09,0,bn_only,metadata_order,0.49606299212598426,0.4991254372813593,0.49206349206349204,0.47876061969015493,127,58,68,"[[32, 37], [27, 31]]"
sub-10,0,bn_only,metadata_order,0.42142857142857143,0.4222290263319045,0.39097744360902253,0.4911206368646663,140,71,62,"[[33, 36], [45, 26]]"
sub-11,0,bn_only,metadata_order,0.5307692307692308,0.5303030303030303,0.5481481481481482,0.5049715909090908,130,66,69,"[[32, 32], [29, 37]]"
sub-12,0,bn_only,metadata_order,0.5365853658536586,0.5311004784688995,0.583941605839416,0.5303030303030303,123,66,71,"[[26, 31], [26, 40]]"
sub-13,0,bn_only,metadata_order,0.475177304964539,0.47403381642512077,0.4393939393939394,0.4909420289855072,141,69,63,"[[38, 34], [40, 29]]"
sub-14,0,bn_only,metadata_order,0.524822695035461,0.5248490945674045,0.524822695035461,0.5088531187122736,141,70,71,"[[37, 34], [33, 37]]"
