subject,delta_bacc_source,delta_bacc_bn_only,delta_bacc_tent_literal,delta_bacc_tent_det,delta_dominant_source,delta_dominant_bn_only,delta_dominant_tent_literal,delta_dominant_tent_det,delta_hmarg_source,delta_hmarg_bn_only,delta_hmarg_tent_literal,delta_hmarg_tent_det,disagreement_literal_vs_det
sub-01,0.0,0.06052066559312935,0.054347826086956486,0.06360708534621567,,-0.2353086826447961,-0.23376063667378855,-0.23505554589527566,,0.1554010634920664,0.15528234792036943,0.1553708904253729,0.11111111111111112
sub-02,0.0,-0.04174107142857153,-0.05647321428571439,-0.04694940476190479,,-0.1373434958174281,-0.13809675595985027,-0.13687906002572459,,0.07364900772363026,0.07465680362271199,0.07381327270462845,0.0845771144278607
sub-03,0.0,-0.2973907371167644,-0.26037181996086095,-0.295009784735812,,-0.2886237812538941,-0.3166009129749404,-0.288364190608263,,0.30011684445720305,0.30578016926939916,0.2996857491799734,0.14685314685314685
sub-04,0.0,0.010752688172043001,0.0,0.013440860215053752,,,,,,,,,0.08585858585858586
sub-05,0.0,0.1493685419058553,0.14401071565250673,0.1493685419058553,,-0.27030930502547157,-0.2828285387820668,-0.27298606683810545,,0.19725467864033103,0.198796402499207,0.19774918983752449,0.1717171717171717
sub-06,0.0,-0.09515765765765755,-0.10297015765765755,-0.09740990990990989,,-0.19158886776131112,-0.18958535628674633,-0.1934632635966409,,0.13041420792238922,0.12933028002754876,0.1305445563968487,0.1256038647342995
sub-07,0.0,-0.3497121070650482,-0.32893713040771866,-0.3497121070650482,,-0.2988565365473429,-0.29824132968982053,-0.2977553543945153,,0.27466177782451046,0.2739647495415744,0.274474268534404,0.15267175572519084
sub-08,0.0,0.03345740281224158,0.03308519437551699,0.03345740281224158,,-0.06597017745176958,-0.09744250277678179,-0.06914712488651276,,0.04210371190538542,0.06718338569448956,0.04369365918939028,0.13648293963254596
sub-09,0.0,0.004830917874396101,-0.007579543561552493,0.002415458937198023,,-0.4755415767431259,-0.4244421501954396,-0.4731124699115752,,0.636498433217394,0.6280820409802479,0.6363786122639961,0.11811023622047244
sub-10,0.0,-0.1306389058991631,-0.12359665237803635,-0.12829148805878748,,-0.07428605556488044,-0.07086034218470261,-0.0687095701694489,,0.027076218681786002,0.026671327184143112,0.026023955168765323,0.12857142857142856
sub-11,0.0,0.030381944444444364,0.02051767676767674,0.027777777777777735,,-0.11861704607751256,-0.11863007177695784,-0.11724629566500266,,0.06315515151918483,0.06312144204961012,0.063063739815025,0.09487179487179487
sub-12,0.0,0.07203615098351945,0.07668793195108997,0.07788410419989372,,-0.029894164601961704,-0.03107633799314491,-0.02755550036827714,,0.005556152070450238,0.005603590814511783,0.005378159094968971,0.0921409214092141
sub-13,0.0,-0.27083333333333337,-0.2681159420289855,-0.277878421900161,,-0.2681227480061352,-0.26175178913399577,-0.26490775852774584,,0.21517230945094185,0.21370212024674679,0.21455735337751775,0.14184397163120568
sub-14,0.0,-0.24714956405097266,-0.2659959758551309,-0.24949698189134817,,-0.21470845171383446,-0.2038968876004219,-0.2138434552720616,,0.11065736800654713,0.10974960539414769,0.11067612657505832,0.1536643026004728
sub-15,0.0,-0.06621004566210043,-0.05251141552511407,-0.06621004566210043,,-0.0937021134401489,-0.09980644342276379,-0.09872970767298306,,0.06355093831408609,0.0618485573207298,0.06513953469098321,0.15981735159817353
sub-16,0.0,-0.07182267884322685,-0.0627219685438864,-0.07410578386605787,,-0.13346679198245204,-0.14396406151354313,-0.13090299131969607,,0.07528725390245117,0.07727911548882704,0.07448402562655354,0.135632183908046
sub-17,0.0,-0.2899543378995434,-0.2762557077625571,-0.2876712328767124,,0.01143602414500755,-0.004892448168700825,0.009574129742287774,,0.00705254824960877,0.012461631701950804,0.007513808565656976,0.12100456621004567
sub-18,0.0,-0.07041748206131776,-0.06327462491846064,-0.07051532941943905,,-0.026303147138268756,-0.019701000441003758,-0.02144066423729618,,0.00454765089235909,0.004274622028451414,0.004283469360357395,0.1421911421911422
sub-19,0.0,-0.018518518518518545,-0.027777777777777846,-0.018518518518518434,,-0.30631844202677405,-0.3163792019089062,-0.30336952892442537,,0.2533609164562919,0.25491182188676487,0.2532783607753828,0.16666666666666666
sub-20,0.0,-0.1745005875440659,-0.14698394046220142,-0.1722483352918136,,0.011527927716572961,-7.193287213658195e-06,0.01289279311895375,,-0.0019951751588640487,-0.00023809069354596701,-0.0025041385167784425,0.14685314685314688
sub-21,0.0,-0.16761739417989419,-0.18605324074074076,-0.17026289682539686,,-0.025786682144865236,-0.0180349853617372,-0.02201014245695676,,0.003435854471862676,0.0027753515221096148,0.003227155175819174,0.14173228346456693
sub-22,0.0,-0.2511415525114155,-0.2785388127853881,-0.2534246575342466,,-0.0060217301878664475,0.005237372730065193,-0.004395555290910957,,0.002048868910441426,0.0001419091997652,0.001312564519610926,0.12100456621004567
sub-23,0.0,-0.04279279279279291,-0.04054054054054057,-0.03828828828828845,,-0.0925183661282063,-0.06861717849969873,-0.09279653653502473,,0.02998326754859182,0.02503121760597593,0.02964596504226713,0.15990990990990991
sub-24,0.0,-0.31706349206349216,-0.3146164021164021,-0.319378306878307,,-0.11314769865324104,-0.08392554055899382,-0.11012091301381588,,0.08909136679014429,0.07489377007193221,0.08755813944498858,0.11737089201877933
sub-25,0.0,-0.2420091324200912,-0.25799086757990863,-0.2374429223744292,,-0.20372877238939213,-0.18547438550956075,-0.20194997847580398,,0.1410269070478276,0.13879465829084991,0.1409331477441078,0.15296803652968036
sub-26,0.0,0.006787609527335481,-0.009163272861902994,0.0045045045045044585,,-0.09356173486621289,-0.08978617356883145,-0.09389921305356197,,0.03947135776801225,0.03915023037976073,0.03950922993365791,0.17233560090702948
sub-27,0.0,0.13954708132790322,0.17135628779464396,0.13954708132790322,,-0.20666735715888163,-0.2165404938989215,-0.203931887599605,,0.21110599622483256,0.2131670758528818,0.21035860351581143,0.13151927437641722
sub-28,0.0,-0.12667931088983725,-0.1415362731152205,-0.12217480638533268,,-0.13434211233785998,-0.15855100067953265,-0.13886556037080777,,0.06773714588005242,0.07408489536147145,0.06852114803377884,0.12213740458015267
sub-29,0.0,0.3261386386386387,0.349099099099099,0.323948948948949,,-0.4313170615695223,-0.4318081338070139,-0.43334443632387176,,0.5384989654146334,0.5379936864420872,0.5387361236279581,0.11643835616438357
sub-30,0.0,-0.2351598173515982,-0.2534246575342465,-0.2351598173515982,,-0.023337923956138096,0.0029018332974779515,-0.020877179448251182,,0.005515374695255648,-0.001424329079026454,0.004922490062399754,0.1232876712328767
sub-31,0.0,-0.015402919801916493,-0.034182262524921236,-0.017750337642292058,,-0.31834279902146345,-0.31018334925396474,-0.31877556493106707,,0.35668776798313656,0.3578882678704794,0.3567021715696688,0.14583333333333334
sub-32,0.0,-0.1802036199095023,-0.1897812971342383,-0.18276772247360484,,-0.14895573258399963,-0.15172312657038367,-0.15082142750422156,,0.2594693313537762,0.25885893768531704,0.26064160977049206,0.10275689223057644
sub-33,0.0,-0.19105149670218163,-0.20021562658548964,-0.19105149670218163,,-0.027848996842900875,-0.009913850265244606,-0.026563609329362747,,0.005088688788736917,0.0029594977031063285,0.004941665767086989,0.15172413793103448
sub-34,0.0,-0.20487696600710292,-0.17037671232876705,-0.20487696600710292,,-0.4412938016984198,-0.4495375777284304,-0.43648939138209375,,0.542047932909601,0.5428355383011401,0.5415535540537852,0.12183908045977011
sub-35,0.0,0.14840182648401828,0.13926940639269408,0.14840182648401828,,-0.09002645644876694,-0.0827778953093069,-0.09246695745322442,,0.04574567679260233,0.045195471087799866,0.04618048153320298,0.13242009132420093
sub-36,0.0,-0.06789066463723992,-0.05419203450025367,-0.0702054794520548,,-0.16886624843270215,-0.13585269406515488,-0.16752801754046232,,0.078695058837152,0.07490105465749175,0.07865316622684082,0.14022988505747128
sub-37,0.0,-0.011967228205836344,0.01509711865967045,-0.011967228205836344,,-0.1526234341425854,-0.13641291366595976,-0.15167159175402245,,0.06592859707679088,0.06225851961887263,0.06563835013988939,0.12568306010928962
sub-38,0.0,-0.13484611371935323,-0.11622978612415247,-0.13253129890453846,,0.007166001324852345,0.0026552981386582797,0.007987251970916986,,-0.0012074864915841976,-0.0013855173956569544,-0.001820019858856714,0.16083916083916083
sub-40,0.0,-0.36833007175472937,-0.363372472276582,-0.36833007175472937,,-0.25494920629144313,-0.27547869530712066,-0.25389399760125464,,0.3181412734033157,0.32024274382201395,0.3179718636577154,0.14452214452214454
sub-41,0.0,0.05523109092220063,0.04016151128415896,0.0502559665440912,,-0.20302875505553342,-0.18329950422048558,-0.19933439791202534,,0.15806610677614996,0.15486119722477132,0.15718425336733088,0.09803921568627451
sub-42,0.0,0.08328077920257865,0.06572769953051638,0.08562819704295416,,-0.20192761382176772,-0.18602733070119504,-0.19763125807401682,,0.22988491959586926,0.2273946318961209,0.2292273080248622,0.10144927536231885
sub-45,0.0,0.0028538812785388057,0.016888262154176825,0.0005707762557077833,,-0.16086833116908872,-0.18655503168702126,-0.15659039529661345,,0.12500767267881097,0.13374443333058017,0.1237751581239539,0.1347517730496454
sub-46,0.0,-0.12817460317460322,-0.10515873015873017,-0.130952380952381,,-0.07158309700233612,-0.062195624224841595,-0.06951408953006788,,0.017038485637920764,0.0161903143029698,0.01690645465070073,0.12307692307692308
sub-47,0.0,0.16986935565702682,0.15395104008117705,0.16289320142059865,,-0.17862230966178083,-0.17414672641704487,-0.1682061608104657,,0.13748751524985592,0.13703389124100762,0.1348892877082677,0.1425287356321839
sub-48,0.0,-0.07359472148204549,-0.05265829209491191,-0.07368988707016882,,-0.141420866007961,-0.14445274487315185,-0.14103894906916792,,0.06969543679360735,0.07005772551982925,0.0695912391825958,0.14942528735632185
sub-49,0.0,-0.3744292237442922,-0.4063926940639271,-0.38584474885844755,,-0.4496121352745427,-0.45422654240219684,-0.449531755513615,,0.5802940191994501,0.581173222956824,0.5797806148715121,0.10273972602739727
sub-50,0.0,0.08755868544600931,0.1065392354124749,0.08987256874580818,,-0.398713976972633,-0.39992900855011415,-0.39407062861654496,,0.5110423577623314,0.5104935877338963,0.5102544607436066,0.09692671394799053
sub-51,0.0,-0.2649253731343284,-0.2504264392324096,-0.26016346837242366,,-0.10187042401068735,-0.13846424438007598,-0.09771466700153231,,0.18103625807692747,0.20628929485456748,0.17776683955104133,0.11678832116788322
sub-52,0.0,-0.13833216127519926,-0.1254688232536334,-0.13622245663384902,,-0.051711830827924854,-0.036315931876500396,-0.05184718403551314,,0.013192559760826228,0.011479516266679202,0.013253805128304208,0.17880794701986755
sub-53,0.0,-0.03703703703703709,-0.06481481481481483,-0.034722222222222265,,-0.05158730623467511,-0.05234833826155705,-0.053503381748062795,,0.019645811583588357,0.018883410529346945,0.019842388547014145,0.1087962962962963
sub-54,0.0,-0.12942294973544988,-0.1030092592592593,-0.12942294973544988,,-0.21565401018346841,-0.21249156628274724,-0.21497711673459063,,0.12181948757677008,0.12137815935157015,0.12167045680969901,0.14173228346456693
sub-55,0.0,-0.24987658891768483,-0.25222139948167344,-0.2476243366654325,,-0.29696316078857143,-0.3233235423211698,-0.29888532669455914,,0.4012935927147943,0.4210751081470036,0.40177662449073853,0.1541950113378685
sub-56,0.0,-0.046296296296296335,-0.037037037037037035,-0.048611111111111105,,-0.05682487475375342,-0.06193263138023519,-0.05504787092407548,,0.031128548128343425,0.03198330987667486,0.03068359482942018,0.1273148148148148
sub-57,0.0,-0.2984154929577465,-0.3284708249496983,-0.3043678739101275,,-0.14438175670673248,-0.138938393763965,-0.14489581763175208,,0.05402893616673954,0.05360830592105048,0.053973472292702884,0.15748031496062995
sub-58,0.0,-0.13463261648745523,-0.1254480286738351,-0.1288829151732378,,-0.1623438071252571,-0.16190710715535617,-0.160357554608749,,0.07720438919533057,0.07723577375713886,0.07683448608536614,0.1417910447761194
sub-59,0.0,-0.17340106211036715,-0.16951435388286012,-0.17340106211036715,,-0.19505935800315322,-0.21335657587510415,-0.19672947034411048,,0.11296243458764721,0.11452438997996084,0.11320551987352567,0.11363636363636365
sub-60,0.0,0.10708955223880595,0.0990464344941957,0.11484245439469315,,-0.11041731842690039,-0.07232680627041388,-0.10923539474606514,,0.04589639773937437,0.024932018877561468,0.04540207181796774,0.12073490813648295
sub-61,0.0,-0.08783783783783783,-0.09234234234234234,-0.09009009009009,,-0.05128156778713078,-0.022141575937469904,-0.048342315355936805,,0.017380662896587906,0.01317618655675723,0.017003513675495796,0.1509009009009009
sub-62,0.0,-0.14568217385118798,-0.1680537772087069,-0.14603784322094193,,-0.21248236298561096,-0.16811101138591766,-0.21036547174056375,,0.15699735462069642,0.1456077816169894,0.15631157628155978,0.1435523114355231
sub-63,0.0,0.07220745587132832,0.037960880528862595,0.07241191303755196,,0.006588775250646828,-0.0066746598178589744,0.0104349524610573,,-0.007244666456393767,-0.0019023961646015275,-0.00942492800692607,0.15
sub-64,0.0,-0.008523119392684575,-0.015631469979296098,-0.008523119392684575,,-0.1372390935818354,-0.13733623135421003,-0.1380985582040416,,0.10697004709977354,0.1080051699305542,0.10762697933001064,0.1750599520383693
sub-65,0.0,0.0010647010647011346,0.007125307125307234,-0.0011875511875510947,,-0.17911382025728617,-0.13120749176790314,-0.1790494969114661,,0.11399074089671446,0.10391433592615273,0.11410067680550506,0.16795865633074936
sub-66,0.0,-0.09825343738387216,-0.09070977331846908,-0.09825343738387216,,-0.08591853231191637,-0.09302270511786148,-0.08477462505300837,,0.030583559033257934,0.03200180050766688,0.03039979942579807,0.13681592039800994
sub-67,0.0,0.258571071071071,0.2697072072072072,0.26082332332332325,,-0.429817505273968,-0.413240031991154,-0.42811808098728454,,0.5458595309870011,0.5435309665536399,0.5452679231412918,0.17808219178082188
sub-68,0.0,0.045662100456621,0.04337899543378987,0.041095890410958846,,-0.3910819016121052,-0.4009371734465714,-0.39035748855935204,,0.4155410651602674,0.4165766330800856,0.4152766004002391,0.14383561643835616
sub-69,0.0,-0.28091976516634043,-0.28091976516634043,-0.2833007175472928,,-0.34362238666249656,-0.34292162323577546,-0.34817524802767574,,0.2870464614802936,0.2869741897038696,0.28725062167130294,0.10955710955710957
sub-70,0.0,-0.28257418909592824,-0.2990338164251207,-0.28257418909592824,,-0.10743285020192461,-0.09590424895286564,-0.10857600569725046,,0.0659845256893804,0.0630825645245654,0.06642239052166732,0.14628297362110312
sub-71,0.0,-0.25449735449735444,-0.21256613756613751,-0.25449735449735444,,-0.06247667623635311,-0.04457937674548407,-0.06136893058768089,,0.024982154009328572,0.021468880710568294,0.024934760926656252,0.1737089201877934
