subject,SessionOrder,visit_pair,first_visit_session,first_visit_label,n_windows_total,n_windows_ses1_NS,n_windows_ses2_SD,n_windows_label0,n_windows_label1,class_share_label1,n_batches,batch_sizes_first_visit,batch_sizes_second_visit,final_batch_size_first_visit,final_batch_size_second_visit,longest_same_condition_run,fold_id,fold_n_train_subjects,fold_n_validation_subjects,fold_n_test_subjects,n_runs,ses1_missing_epochs_interior,ses2_missing_epochs_interior,ses1_missing_epochs_tail,ses2_missing_epochs_tail,session_source_files,n_runs_NS_then_SD,longest_same_condition_run_if_NS_then_SD,exclusion_reason
sub-01,NS->SD,ses-1->ses-2,ses-1,0,123,69,54,69,54,0.43902439024390244,5,32;32;5,32;22,5,22,69,loso_sub-01,53,14,1,2,0,0,0,0,sub-01_ses-1.set;sub-01_ses-2.set,,,
sub-02,NS->SD,ses-1->ses-2,ses-1,0,134,70,64,70,64,0.47761194029850745,5,32;32;6,32;32,6,32,70,loso_sub-02,53,14,1,2,0,0,0,0,sub-02_ses-1.set;sub-02_ses-2.set,,,
sub-03,NS->SD,ses-1->ses-2,ses-1,0,143,73,70,73,70,0.48951048951048953,6,32;32;9,32;32;6,9,6,73,loso_sub-03,53,14,1,2,0,0,0,0,sub-03_ses-1.set;sub-03_ses-2.set,,,
sub-04,NS->SD,ses-1->ses-2,ses-1,0,66,4,62,4,62,0.9393939393939394,3,4,32;30,4,30,62,loso_sub-04,53,14,1,2,0,0,0,0,sub-04_ses-1.set;sub-04_ses-2.set,,,
sub-05,NS->SD,ses-1->ses-2,ses-1,0,132,65,67,65,67,0.5075757575757576,6,32;32;1,32;32;3,1,3,67,loso_sub-05,53,14,1,2,0,0,0,0,sub-05_ses-1.set;sub-05_ses-2.set,,,
sub-06,NS->SD,ses-1->ses-2,ses-1,0,138,74,64,74,64,0.463768115942029,5,32;32;10,32;32,10,32,74,loso_sub-06,53,14,1,2,0,0,0,0,sub-06_ses-1.set;sub-06_ses-2.set,,,
sub-07,NS->SD,ses-1->ses-2,ses-1,0,131,63,68,63,68,0.5190839694656488,5,32;31,32;32;4,31,4,68,loso_sub-07,53,14,1,2,0,0,0,0,sub-07_ses-1.set;sub-07_ses-2.set,,,
sub-08,SD->NS,ses-2->ses-1,ses-2,1,127,65,62,65,62,0.4881889763779528,5,32;30,32;32;1,30,1,65,loso_sub-08,53,14,1,2,0,0,0,0,sub-08_ses-1.set;sub-08_ses-2.set,,,
sub-09,SD->NS,ses-2->ses-1,ses-2,1,127,69,58,69,58,0.4566929133858268,5,32;26,32;32;5,26,5,69,loso_sub-09,53,14,1,2,0,0,0,0,sub-09_ses-1.set;sub-09_ses-2.set,,,
sub-10,SD->NS,ses-2->ses-1,ses-2,1,140,69,71,69,71,0.5071428571428571,6,32;32;7,32;32;5,7,5,71,loso_sub-10,53,14,1,2,0,0,0,0,sub-10_ses-1.set;sub-10_ses-2.set,,,
sub-11,SD->NS,ses-2->ses-1,ses-2,1,130,64,66,64,66,0.5076923076923077,5,32;32;2,32;32,2,32,66,loso_sub-11,53,14,1,2,0,0,0,0,sub-11_ses-1.set;sub-11_ses-2.set,,,
sub-12,SD->NS,ses-2->ses-1,ses-2,1,123,57,66,57,66,0.5365853658536586,5,32;32;2,32;25,2,25,66,loso_sub-12,53,14,1,2,0,0,0,0,sub-12_ses-1.set;sub-12_ses-2.set,,,
sub-13,SD->NS,ses-2->ses-1,ses-2,1,141,72,69,72,69,0.48936170212765956,6,32;32;5,32;32;8,5,8,72,loso_sub-13,53,14,1,2,0,0,0,0,sub-13_ses-1.set;sub-13_ses-2.set,,,
sub-14,SD->NS,ses-2->ses-1,ses-2,1,141,71,70,71,70,0.49645390070921985,6,32;32;6,32;32;7,6,7,71,loso_sub-14,53,14,1,2,0,0,0,0,sub-14_ses-1.set;sub-14_ses-2.set,,,
sub-15,SD->NS,ses-2->ses-1,ses-2,1,146,73,73,73,73,0.5,6,32;32;9,32;32;9,9,9,73,loso_sub-15,53,14,1,2,0,0,0,0,sub-15_ses-1.set;sub-15_ses-2.set,,,
sub-16,SD->NS,ses-2->ses-1,ses-2,1,145,72,73,72,73,0.503448275862069,6,32;32;9,32;32;8,9,8,73,loso_sub-16,53,14,1,2,0,0,0,0,sub-16_ses-1.set;sub-16_ses-2.set,,,
sub-17,SD->NS,ses-2->ses-1,ses-2,1,146,73,73,73,73,0.5,6,32;32;9,32;32;9,9,9,73,loso_sub-17,53,14,1,2,0,0,0,0,sub-17_ses-1.set;sub-17_ses-2.set,,,
sub-18,SD->NS,ses-2->ses-1,ses-2,1,143,73,70,73,70,0.48951048951048953,6,32;32;6,32;32;9,6,9,73,loso_sub-18,53,14,1,2,0,0,0,0,sub-18_ses-1.set;sub-18_ses-2.set,,,
