subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-01,0,source,metadata_order,0.5121951219512195,0.47665056360708535,0.25,0.45974235104669886,123,54,26,"[[53, 16], [44, 10]]"
sub-02,0,source,metadata_order,0.5149253731343284,0.5243303571428571,0.5911949685534591,0.5212053571428572,134,64,95,"[[22, 48], [17, 47]]"
sub-03,0,source,metadata_order,0.6853146853146853,0.6853228962818003,0.6808510638297872,0.7904109589041096,143,70,71,"[[50, 23], [22, 48]]"
sub-04,0,source,metadata_order,0.7575757575757576,0.4032258064516129,0.8620689655172413,0.7862903225806452,66,62,54,"[[0, 4], [12, 50]]"
sub-05,0,source,metadata_order,0.4318181818181818,0.43639494833524684,0.1935483870967742,0.43099885189437426,132,67,26,"[[48, 17], [58, 9]]"
sub-06,0,source,metadata_order,0.4492753623188406,0.46326013513513514,0.525,0.46959459459459457,138,64,96,"[[20, 54], [22, 42]]"
sub-07,0,source,metadata_order,0.8473282442748091,0.844187675070028,0.863013698630137,0.9222689075630252,131,68,78,"[[48, 15], [5, 63]]"
sub-08,0,source,metadata_order,0.4330708661417323,0.4241935483870968,0.07692307692307693,0.40397022332506205,127,62,16,"[[52, 13], [59, 3]]"
sub-09,0,source,metadata_order,0.47244094488188976,0.5076211894052973,0.6127167630057804,0.2653673163418291,127,58,115,"[[7, 62], [5, 53]]"
sub-10,0,source,metadata_order,0.6714285714285714,0.6715656256378852,0.6714285714285714,0.7474994896917739,140,71,69,"[[47, 22], [24, 47]]"
sub-11,0,source,metadata_order,0.5307692307692308,0.5269886363636364,0.6257668711656442,0.5137310606060606,130,66,97,"[[18, 46], [15, 51]]"
sub-12,0,source,metadata_order,0.3252032520325203,0.31499202551834127,0.4195804195804196,0.22594364699627859,123,66,77,"[[10, 47], [36, 30]]"
sub-13,0,source,metadata_order,0.9716312056737588,0.9719202898550725,0.9714285714285714,0.9969806763285024,141,69,71,"[[69, 3], [1, 68]]"
sub-14,0,source,metadata_order,0.7730496453900709,0.7722334004024145,0.7419354838709677,0.8881287726358149,141,70,54,"[[63, 8], [24, 46]]"
sub-15,0,source,metadata_order,0.4931506849315068,0.4931506849315068,0.6574074074074074,0.4214674422968662,146,73,143,"[[1, 72], [2, 71]]"
sub-16,0,source,metadata_order,0.6689655172413793,0.669996194824962,0.6129032258064516,0.7395357686453576,145,73,51,"[[59, 13], [35, 38]]"
sub-17,0,source,metadata_order,0.7054794520547946,0.7054794520547945,0.7724867724867724,0.9767310940138862,146,73,116,"[[30, 43], [0, 73]]"
sub-18,0,source,metadata_order,0.5314685314685315,0.536105675146771,0.6127167630057804,0.5782778864970646,143,70,103,"[[23, 50], [17, 53]]"
sub-19,0,source,metadata_order,0.5,0.5,0.0,0.28260030864197533,144,72,0,"[[72, 0], [72, 0]]"
sub-20,0,source,metadata_order,0.5244755244755245,0.5385820603211907,0.6565656565656566,0.8738738738738738,143,69,129,"[[10, 64], [4, 65]]"
sub-21,0,source,metadata_order,0.6062992125984252,0.6042906746031746,0.6875,0.7405753968253967,127,64,96,"[[22, 41], [9, 55]]"
sub-22,0,source,metadata_order,0.773972602739726,0.773972602739726,0.7591240875912408,0.8076562206793019,146,73,64,"[[61, 12], [21, 52]]"
sub-23,0,source,metadata_order,0.5337837837837838,0.5337837837837838,0.3300970873786408,0.6278305332359386,148,74,29,"[[62, 12], [57, 17]]"
sub-24,0,source,metadata_order,0.7183098591549296,0.7142857142857143,0.6,0.7763888888888889,142,70,30,"[[72, 0], [40, 30]]"
sub-25,0,source,metadata_order,0.9041095890410958,0.9041095890410958,0.9014084507042254,0.9630324638769,146,73,69,"[[68, 5], [9, 64]]"
sub-26,0,source,metadata_order,0.4557823129251701,0.45816364309514995,0.16666666666666666,0.47834135505368375,147,74,22,"[[59, 14], [66, 8]]"
sub-27,0,source,metadata_order,0.3741496598639456,0.371714179933358,0.54,0.18585708996667905,147,74,126,"[[1, 72], [20, 54]]"
sub-28,0,source,metadata_order,0.6946564885496184,0.7136083451872925,0.7101449275362319,0.7871028923660504,131,57,81,"[[42, 32], [8, 49]]"
sub-29,0,source,metadata_order,0.1232876712328767,0.125,0.0,0.0015015015015015006,146,74,54,"[[18, 54], [74, 0]]"
sub-30,0,source,metadata_order,0.8493150684931506,0.8493150684931507,0.8225806451612904,0.9868643272659036,146,73,51,"[[73, 0], [22, 51]]"
sub-31,0,source,metadata_order,0.5277777777777778,0.5211267605633803,0.08108108108108109,0.09299633416939997,144,71,3,"[[73, 0], [68, 3]]"
sub-32,0,source,metadata_order,0.7669172932330827,0.7639140271493212,0.7256637168141593,0.872398190045249,133,65,48,"[[61, 7], [24, 41]]"
sub-33,0,source,metadata_order,0.6620689655172414,0.6597222222222222,0.4842105263157895,1.0,145,72,23,"[[73, 0], [49, 23]]"
sub-34,0,source,metadata_order,0.6620689655172414,0.660007610350076,0.7407407407407407,0.7844368340943683,145,73,116,"[[26, 46], [3, 70]]"
sub-35,0,source,metadata_order,0.3082191780821918,0.3082191780821918,0.192,0.3647963970726215,146,73,52,"[[33, 40], [61, 12]]"
sub-36,0,source,metadata_order,0.6,0.598744292237443,0.5084745762711864,0.6634322678843226,145,72,46,"[[57, 16], [42, 30]]"
sub-37,0,source,metadata_order,0.5081967213114754,0.5139464236398785,0.4827586206896552,0.5528859431096382,122,51,65,"[[34, 37], [23, 28]]"
sub-38,0,source,metadata_order,0.6153846153846154,0.6179577464788732,0.3956043956043956,0.7901017214397498,143,72,19,"[[70, 1], [54, 18]]"
sub-40,0,source,metadata_order,0.9370629370629371,0.9363013698630137,0.9333333333333333,0.9915851272015654,143,70,65,"[[71, 2], [7, 63]]"
sub-41,0,source,metadata_order,0.5294117647058824,0.527795803590742,0.4666666666666667,0.6060999351070734,136,67,53,"[[44, 25], [39, 28]]"
sub-42,0,source,metadata_order,0.2536231884057971,0.26077359680470885,0.39766081871345027,0.1479924322051713,138,67,104,"[[1, 70], [33, 34]]"
sub-45,0,source,metadata_order,0.5035460992907801,0.511986301369863,0.36363636363636365,0.49899274778404507,141,73,37,"[[51, 17], [53, 20]]"
sub-46,0,source,metadata_order,0.6461538461538462,0.6238095238095238,0.46511627906976744,0.6888095238095238,130,60,26,"[[64, 6], [40, 20]]"
sub-47,0,source,metadata_order,0.496551724137931,0.5,0.663594470046083,0.0,145,72,145,"[[0, 73], [0, 72]]"
sub-48,0,source,metadata_order,0.5586206896551724,0.5669965740388276,0.6831683168316832,0.6478873239436619,145,71,131,"[[12, 62], [2, 69]]"
sub-49,0,source,metadata_order,0.9794520547945206,0.9794520547945205,0.9798657718120806,1.0,146,73,76,"[[70, 3], [0, 73]]"
sub-50,0,source,metadata_order,0.5106382978723404,0.5077464788732394,0.6532663316582915,0.42293762575452715,141,71,128,"[[7, 63], [6, 65]]"
sub-51,0,source,metadata_order,0.7518248175182481,0.755863539445629,0.7875,0.830277185501066,137,67,93,"[[40, 30], [4, 63]]"
sub-52,0,source,metadata_order,0.7483443708609272,0.752725035161744,0.7323943661971831,0.8347398030942335,151,79,63,"[[61, 11], [27, 52]]"
sub-53,0,source,metadata_order,0.4305555555555556,0.4305555555555556,0.19607843137254902,0.34490740740740744,144,72,30,"[[52, 20], [62, 10]]"
sub-54,0,source,metadata_order,0.5354330708661418,0.5360863095238095,0.5693430656934306,0.5853174603174602,127,63,74,"[[29, 35], [24, 39]]"
sub-55,0,source,metadata_order,0.8571428571428571,0.8581081081081081,0.874251497005988,1.0,147,73,94,"[[53, 21], [0, 73]]"
sub-56,0,source,metadata_order,0.6111111111111112,0.6111111111111112,0.4909090909090909,0.5713734567901234,144,72,38,"[[61, 11], [45, 27]]"
sub-57,0,source,metadata_order,0.8503937007874016,0.8511066398390341,0.8347826086956521,0.9177565392354124,127,56,59,"[[60, 11], [8, 48]]"
sub-58,0,source,metadata_order,0.5,0.4731182795698925,0.1728395061728395,0.38709677419354843,134,62,19,"[[60, 12], [55, 7]]"
sub-59,0,source,metadata_order,0.6212121212121212,0.6340337104594782,0.6621621621621622,0.7637958900946664,132,61,87,"[[33, 38], [12, 49]]"
sub-60,0,source,metadata_order,0.2992125984251969,0.3009950248756219,0.288,0.2562189054726368,127,67,58,"[[20, 40], [49, 18]]"
sub-61,0,source,metadata_order,0.6081081081081081,0.6081081081081081,0.6282051282051282,0.6544923301680059,148,74,82,"[[41, 33], [25, 49]]"
sub-62,0,source,metadata_order,0.5985401459854015,0.6110755441741358,0.6961325966850829,0.7526675202731541,137,66,115,"[[19, 52], [3, 63]]"
sub-63,0,source,metadata_order,0.30714285714285716,0.3123083214066653,0.224,0.2539358004498058,140,73,52,"[[29, 38], [59, 14]]"
sub-64,0,source,metadata_order,0.6546762589928058,0.655175983436853,0.6307692307692307,0.7674948240165631,139,70,60,"[[50, 19], [29, 41]]"
sub-65,0,source,metadata_order,0.5503875968992248,0.5264127764127764,0.40816326530612246,0.5221130221130221,129,55,43,"[[51, 23], [35, 20]]"
sub-66,0,source,metadata_order,0.6865671641791045,0.6911928651059086,0.6379310344827587,0.7032329988851728,134,69,47,"[[55, 10], [32, 37]]"
sub-67,0,source,metadata_order,0.2808219178082192,0.2847222222222222,0.4385026737967914,0.0031906906906906903,146,72,115,"[[0, 74], [31, 41]]"
sub-68,0,source,metadata_order,0.4657534246575342,0.4657534246575342,0.5979381443298969,0.3829986864327266,146,73,121,"[[10, 63], [15, 58]]"
sub-69,0,source,metadata_order,0.7622377622377622,0.760371819960861,0.734375,0.822504892367906,143,70,58,"[[62, 11], [23, 47]]"
sub-70,0,source,metadata_order,0.7769784172661871,0.7768115942028986,0.7703703703703704,0.8544513457556936,139,69,66,"[[56, 14], [17, 52]]"
sub-71,0,source,metadata_order,0.6056338028169014,0.6111111111111112,0.36363636363636365,0.6384920634920634,142,72,16,"[[70, 0], [56, 16]]"
sub-01,1,source,metadata_order,0.4878048780487805,0.4428341384863124,0.11267605633802817,0.4404186795491143,123,54,17,"[[56, 13], [50, 4]]"
sub-02,1,source,metadata_order,0.5522388059701493,0.5654017857142857,0.6470588235294118,0.4348214285714286,134,64,106,"[[19, 51], [9, 55]]"
sub-03,1,source,metadata_order,0.8671328671328671,0.8681017612524462,0.8707482993197279,0.9469667318982388,143,70,77,"[[60, 13], [6, 64]]"
sub-04,1,source,metadata_order,0.7878787878787878,0.41935483870967744,0.8813559322033898,0.5967741935483871,66,62,56,"[[0, 4], [10, 52]]"
sub-05,1,source,metadata_order,0.4166666666666667,0.42192881745120553,0.11494252873563218,0.3097588978185993,132,67,20,"[[50, 15], [62, 5]]"
sub-06,1,source,metadata_order,0.5072463768115942,0.5363175675675675,0.6382978723404256,0.8743665540540541,138,64,124,"[[10, 64], [4, 60]]"
sub-07,1,source,metadata_order,0.8320610687022901,0.8277310924369747,0.8533333333333334,0.9435107376283848,131,68,82,"[[45, 18], [4, 64]]"
sub-08,1,source,metadata_order,0.47244094488188976,0.4641439205955335,0.1728395061728395,0.4300248138957816,127,62,19,"[[53, 12], [55, 7]]"
sub-09,1,source,metadata_order,0.3779527559055118,0.4027986006996502,0.5031446540880503,0.16591704147926037,127,58,101,"[[8, 61], [18, 40]]"
sub-10,1,source,metadata_order,0.4785714285714286,0.48040416411512554,0.4065040650406504,0.4647887323943662,140,71,52,"[[42, 27], [46, 25]]"
sub-11,1,source,metadata_order,0.4230769230769231,0.4190340909090909,0.5454545454545454,0.38446969696969696,130,66,99,"[[10, 54], [21, 45]]"
sub-12,1,source,metadata_order,0.5203252032520326,0.511164274322169,0.5874125874125874,0.5462519936204147,123,66,77,"[[22, 35], [24, 42]]"
