subject,SessionOrder,visit_pair,accuracy_source,delta_accuracy_source_vs_source,accuracy_bn_only,delta_accuracy_bn_only_vs_source,accuracy_tent_literal,delta_accuracy_tent_literal_vs_source,accuracy_tent_det,delta_accuracy_tent_det_vs_source,balanced_accuracy_source,delta_balanced_accuracy_source_vs_source,balanced_accuracy_bn_only,delta_balanced_accuracy_bn_only_vs_source,balanced_accuracy_tent_literal,delta_balanced_accuracy_tent_literal_vs_source,balanced_accuracy_tent_det,delta_balanced_accuracy_tent_det_vs_source,f1_source,delta_f1_source_vs_source,f1_bn_only,delta_f1_bn_only_vs_source,f1_tent_literal,delta_f1_tent_literal_vs_source,f1_tent_det,delta_f1_tent_det_vs_source,roc_auc_source,delta_roc_auc_source_vs_source,roc_auc_bn_only,delta_roc_auc_bn_only_vs_source,roc_auc_tent_literal,delta_roc_auc_tent_literal_vs_source,roc_auc_tent_det,delta_roc_auc_tent_det_vs_source,last_H_marg_source,last_dominant_share_source,last_H_cond_source,last_mean_max_conf_source,last_q1_source,last_pred_positive_frac_source,last_true_positive_frac_source,last_batch_balanced_accuracy_source,delta_H_marg_source,delta_dominant_share_source,delta_H_cond_source,delta_mean_max_conf_source,last_H_marg_bn_only,last_dominant_share_bn_only,last_H_cond_bn_only,last_mean_max_conf_bn_only,last_q1_bn_only,last_pred_positive_frac_bn_only,last_true_positive_frac_bn_only,last_batch_balanced_accuracy_bn_only,delta_H_marg_bn_only,delta_dominant_share_bn_only,delta_H_cond_bn_only,delta_mean_max_conf_bn_only,last_H_marg_tent_literal,last_dominant_share_tent_literal,last_H_cond_tent_literal,last_mean_max_conf_tent_literal,last_q1_tent_literal,last_pred_positive_frac_tent_literal,last_true_positive_frac_tent_literal,last_batch_balanced_accuracy_tent_literal,delta_H_marg_tent_literal,delta_dominant_share_tent_literal,delta_H_cond_tent_literal,delta_mean_max_conf_tent_literal,last_H_marg_tent_det,last_dominant_share_tent_det,last_H_cond_tent_det,last_mean_max_conf_tent_det,last_q1_tent_det,last_pred_positive_frac_tent_det,last_true_positive_frac_tent_det,last_batch_balanced_accuracy_tent_det,delta_H_marg_tent_det,delta_dominant_share_tent_det,delta_H_cond_tent_det,delta_mean_max_conf_tent_det,delta_last_H_marg_bn_only_vs_source,delta_last_H_marg_tent_literal_vs_source,delta_last_H_marg_tent_det_vs_source,delta_last_dominant_share_bn_only_vs_source,delta_last_dominant_share_tent_literal_vs_source,delta_last_dominant_share_tent_det_vs_source,delta_last_H_cond_bn_only_vs_source,delta_last_H_cond_tent_literal_vs_source,delta_last_H_cond_tent_det_vs_source,delta_last_mean_max_conf_bn_only_vs_source,delta_last_mean_max_conf_tent_literal_vs_source,delta_last_mean_max_conf_tent_det_vs_source,pred_disagreement_vs_source_bn_only,pred_disagreement_vs_source_tent_literal,pred_disagreement_vs_source_tent_det,pred_disagreement_literal_vs_det,n_windows
sub-01,NS->SD,ses-1->ses-2,0.4878048780487805,0.0,0.5067750677506775,0.01897018970189701,0.5013550135501355,0.013550135501354976,0.5094850948509485,0.02168021680216803,0.4448470209339775,0.0,0.5053676865271068,0.06052066559312935,0.499194847020934,0.054347826086956486,0.5084541062801932,0.06360708534621567,0.1306959403479702,0.0,0.468321226795803,0.33762528644783285,0.4589164434649708,0.3282205031170006,0.47268907563025203,0.3419931352822818,0.38083735909822863,0.0,0.5056360708534622,0.12479871175523355,0.5147611379495438,0.13392377885131518,0.5058149937376991,0.12497763463947048,0.5374626023633297,0.7456004244035505,0.4971229741840988,0.7513183864807202,0.2543995755964495,0.06060606060606061,1.0,,-0.09023139917251057,0.0827508812627374,-0.005336968605219039,0.0010817434778084278,0.692863665855396,0.5102917417587544,0.5403185295633851,0.7134423643195381,0.5102917417587544,0.5303030303030303,1.0,,0.0017468916584478429,-0.015837962253664812,0.028708076029510105,-0.02674808163525692,0.6927449502836991,0.5118397877297619,0.5384161411841233,0.7220370018798293,0.5073593395451704,0.5,1.0,,0.002392042525300194,-0.017510965998305667,0.03461465832170688,-0.02865929943491763,0.6928334927887025,0.5105448785082748,0.5393606866479256,0.7141310735252883,0.5096383835259599,0.5454545454545454,1.0,,0.0017167185917543366,-0.015584825504144343,0.027750233114050577,-0.02605937242950666,0.1554010634920664,0.15528234792036943,0.1553708904253729,-0.2353086826447961,-0.23376063667378855,-0.23505554589527566,0.04319555537928632,0.0412931670000245,0.04223771246382679,-0.03787602216118213,-0.029281384600890914,-0.037187312955431984,0.3333333333333333,0.3387533875338753,0.33604336043360433,0.11111111111111112,369
sub-02,NS->SD,ses-1->ses-2,0.5895522388059702,0.0,0.5522388059701492,-0.037313432835821,0.5373134328358209,-0.052238805970149294,0.5472636815920398,-0.04228855721393043,0.5935267857142857,0.0,0.5517857142857142,-0.04174107142857153,0.5370535714285714,-0.05647321428571439,0.546577380952381,-0.04694940476190479,0.6100301755922495,0.0,0.5360427715179172,-0.07398740407433224,0.5226212686567164,-0.08740890693553305,0.52823174789587,-0.08179842769637946,0.5894345238095239,0.0,0.5229910714285715,-0.0664434523809524,0.5239583333333333,-0.06547619047619058,0.521875,-0.0675595238095239,0.6168054852637628,0.6620676922417866,0.4051401074027153,0.8159223265829496,0.6620676922417866,0.6979166666666666,1.0,,0.0343847247764677,-0.05706718098959603,0.07433231841246656,-0.02715038632940529,0.690454492987393,0.5247241964243585,0.42678083360833363,0.7974859295403197,0.5169639407977229,0.5729166666666666,1.0,,-0.0013394282871947993,-0.0012672902121266816,-0.02824817319147055,0.022206800365286956,0.6914622888864748,0.5239709362819364,0.42453173233135866,0.7949761587539493,0.5162179866771718,0.5625,1.0,,0.0003715415248451981,-0.006582941864811194,-0.006643911727639747,-0.009147508176586902,0.6906187579683912,0.525188632216062,0.4262283704479379,0.797474416852007,0.5150102560619416,0.5729166666666666,1.0,,-0.0011751633061966398,-0.0008028544204231972,-0.028800636351866304,0.022195287676974356,0.07364900772363026,0.07465680362271199,0.07381327270462845,-0.1373434958174281,-0.13809675595985027,-0.13687906002572459,0.021640726205618355,0.01939162492864338,0.0210882630452226,-0.018436397042629893,-0.020946167829000273,-0.01844790973094257,0.24129353233830844,0.2562189054726368,0.236318407960199,0.0845771144278607,402
sub-03,NS->SD,ses-1->ses-2,0.7389277389277389,0.0,0.44289044289044294,-0.29603729603729595,0.48018648018648014,-0.25874125874125875,0.4452214452214452,-0.2937062937062937,0.741258969341161,0.0,0.4438682322243966,-0.2973907371167644,0.4808871493803,-0.26037181996086095,0.44624918460534896,-0.295009784735812,0.7626210331377505,0.0,0.4626040454495975,-0.30001698768815305,0.4898950814443772,-0.2727259516933733,0.4660973346571724,-0.29652369848057814,0.8397912589693411,0.0,0.4647749510763209,-0.37501630789302026,0.46647097195042403,-0.3733202870189171,0.4671885192433138,-0.37260273972602737,0.38630757519260533,0.8371978981627358,0.34851405520574846,0.8480665038029352,0.8371978981627358,0.8888888888888888,1.0,,-0.22478407703895495,0.173514247193806,-0.09144373000356788,0.07484098466390303,0.6864244196498084,0.5485741169088417,0.6112772257940129,0.6552242922286192,0.5072890830536684,0.5555555555555555,1.0,,-0.006344594579770435,0.036998935444797966,0.08098863246079067,-0.06036579038482156,0.6920877444620045,0.5205969851877954,0.5807197327262141,0.6620076704356405,0.4920473024249077,0.5555555555555555,1.0,,-0.000760690292472536,0.011914707687942117,0.05464414250622982,-0.05546419815962308,0.6859933243725788,0.5488337075544728,0.6101036410007592,0.656910760121213,0.5106575062705411,0.5555555555555555,1.0,,-0.006775689857000093,0.037258526090429046,0.07981504766753694,-0.05867932249222781,0.30011684445720305,0.30578016926939916,0.2996857491799734,-0.2886237812538941,-0.3166009129749404,-0.288364190608263,0.2627631705882644,0.23220567752046567,0.26158958579501074,-0.19284221157431602,-0.18605883336729478,-0.19115574368172228,0.31002331002331,0.3006993006993007,0.30769230769230765,0.14685314685314685,429
sub-04,NS->SD,ses-1->ses-2,0.7474747474747474,0.0,0.47474747474747475,-0.27272727272727265,0.4545454545454546,-0.2929292929292928,0.47979797979797983,-0.26767676767676757,0.4368279569892473,0.0,0.4475806451612903,0.010752688172043001,0.4368279569892473,0.0,0.45026881720430106,0.013440860215053752,0.8538689053008165,0.0,0.6305138891232333,-0.22335501617758324,0.6097464502020539,-0.24412245509876263,0.6354411007693699,-0.2184278045314466,0.6908602150537635,0.0,0.46102150537634407,-0.22983870967741943,0.4274193548387097,-0.2634408602150538,0.46102150537634407,-0.22983870967741943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31313131313131315,0.3333333333333333,0.3080808080808081,0.08585858585858586,198
sub-05,NS->SD,ses-1->ses-2,0.3863636363636364,0.0,0.5404040404040403,0.15404040404040392,0.5353535353535354,0.14898989898989895,0.5404040404040403,0.15404040404040392,0.3907768848067356,0.0,0.5401454267125909,0.1493685419058553,0.5347876004592423,0.14401071565250673,0.5401454267125909,0.1493685419058553,0.14166525673377947,0.0,0.5518226114879298,0.41015735475415027,0.5560466417697376,0.4143813850359581,0.5518226114879298,0.41015735475415027,0.28465365480290855,0.0,0.5387676999617299,0.25411404515882136,0.5198622273249139,0.2352085725220054,0.5366628396479143,0.25200918484500573,0.4936106603083891,0.798099252084891,0.4852470365139458,0.798099252084891,0.201900747915109,0.0,1.0,,-0.17852747483024586,0.20351258401448524,-0.12077068929709038,0.12293414445593953,0.6908653389487202,0.5277899470594194,0.667320973169256,0.5910017655955421,0.5272755324840545,0.4444444444444444,1.0,,-0.001349104802398508,0.011647229186362703,0.1139436283163201,-0.12833592813048098,0.6924070628075961,0.5152707133028241,0.6464472108704427,0.6276814507113563,0.5137545830673642,0.5555555555555555,1.0,,0.00014566577498672148,-0.002735417071057252,0.09682671388927622,-0.09680216723871933,0.6913598501459136,0.5251131852467855,0.6674689316742893,0.5915196736653646,0.5236323939429389,0.4444444444444444,1.0,,-0.0008545936052050488,0.008970467373728752,0.11409158682135352,-0.12781802006065845,0.19725467864033103,0.198796402499207,0.19774918983752449,-0.27030930502547157,-0.2828285387820668,-0.27298606683810545,0.1820739366553102,0.16120017435649686,0.18222189516034354,-0.2070974864893489,-0.17041780137353468,-0.20657957841952634,0.3207070707070707,0.34595959595959597,0.3207070707070707,0.1717171717171717,396
sub-06,NS->SD,ses-1->ses-2,0.5676328502415459,0.0,0.48067632850241543,-0.08695652173913043,0.4734299516908212,-0.09420289855072467,0.47826086956521735,-0.08937198067632851,0.5788992117117117,0.0,0.4837415540540541,-0.09515765765765755,0.4759290540540541,-0.10297015765765755,0.4814893018018018,-0.09740990990990989,0.6178544530220298,0.0,0.48418491484184917,-0.13366953818018062,0.47308467613811117,-0.14476977688391862,0.4830917874396135,-0.13476266558241629,0.7057291666666666,0.0,0.48205236486486486,-0.22367680180180177,0.48240427927927926,-0.22332488738738737,0.484375,-0.22135416666666663,0.5620447596839773,0.7096767597443735,0.4176576503706408,0.7893288038127745,0.7096767597443735,0.75,1.0,,-0.09862041968570534,0.08793714359247436,-0.19447712418100094,0.13370804771936187,0.6924589676063665,0.5180878919830624,0.5021198262602448,0.7504384279842876,0.49344339985691477,0.4895833333333333,1.0,,0.0017905724524635014,-0.01617185452778358,-0.07395829374486433,0.055558226852250904,0.691375039711526,0.5200914034576272,0.5159641713416576,0.7368579905669321,0.48056349143977667,0.4583333333333333,1.0,,-0.00024271061626416715,-0.0069278881152664935,-0.06768604489653922,0.05426577811158495,0.692589316080826,0.5162134961477326,0.5009384151324004,0.7512878178677056,0.4958967294175333,0.4895833333333333,1.0,,0.0019209209269229384,-0.01804625036311336,-0.07513970487270855,0.05640761673566885,0.13041420792238922,0.12933028002754876,0.1305445563968487,-0.19158886776131112,-0.18958535628674633,-0.1934632635966409,0.08446217588960397,0.09830652097101683,0.08328076476175966,-0.03889037582848687,-0.05247081324584235,-0.038040985945068884,0.26570048309178745,0.2777777777777778,0.26811594202898553,0.1256038647342995,414
sub-07,NS->SD,ses-1->ses-2,0.8549618320610688,0.0,0.5038167938931298,-0.35114503816793896,0.5241730279898219,-0.3307888040712469,0.5038167938931298,-0.35114503816793896,0.8527077497665733,0.0,0.5029956427015251,-0.3497121070650482,0.5237706193588546,-0.32893713040771866,0.5029956427015251,-0.3497121070650482,0.8678550256920841,0.0,0.5227056208320101,-0.34514940486007395,0.5372234164983823,-0.3306316091937017,0.5227056208320101,-0.34514940486007395,0.9277933395580454,0.0,0.5104263927793339,-0.41736694677871156,0.5159508247743542,-0.41184251478369127,0.5111266728913789,-0.4166666666666665,0.4149844949900416,0.8372968385616938,0.3607496692939531,0.8372968385616938,0.8372968385616938,1.0,1.0,,-0.2441150781704731,0.2232313979572306,-0.24496953062558535,0.17545137965741256,0.689646272814552,0.5384403020143509,0.6000992354007118,0.6895392288764318,0.5384403020143509,0.5833333333333334,1.0,,-0.0027868133419931183,0.021977292994658153,0.052825281445589935,-0.017229995379845302,0.688949244531616,0.5390555088718733,0.6206485359480873,0.659815214574337,0.5265477672219276,0.5833333333333334,1.0,,-0.00369798907702353,0.026500972666932892,0.06798538493406676,-0.04047128067274267,0.6894587635244456,0.5395414841671785,0.5999612039068537,0.689069826155901,0.5395414841671785,0.5833333333333334,1.0,,-0.002974322632099735,0.023078475147485733,0.052687249951732,-0.01769939810037613,0.27466177782451046,0.2739647495415744,0.274474268534404,-0.2988565365473429,-0.29824132968982053,-0.2977553543945153,0.23934956610675867,0.25989886665413425,0.23921153461290062,-0.14775760968526197,-0.17748162398735678,-0.14822701240579284,0.3511450381679389,0.3358778625954198,0.3511450381679389,0.15267175572519084,393
sub-08,SD->NS,ses-2->ses-1,0.4881889763779528,0.0,0.5144356955380577,0.026246719160104903,0.5144356955380578,0.026246719160105014,0.5144356955380577,0.026246719160104903,0.4805210918114144,0.0,0.513978494623656,0.03345740281224158,0.5136062861869314,0.03308519437551699,0.513978494623656,0.03345740281224158,0.21800596741495085,0.0,0.497736011967511,0.2797300445525601,0.4902140847762042,0.2722081173612534,0.497736011967511,0.2797300445525601,0.44342431761786605,0.0,0.4937965260545905,0.050372208436724464,0.48254755996691473,0.03912324234904868,0.4948717948717949,0.05144747725392884,0.6038698442767544,0.7004108180602392,0.6038698442767544,0.7004108180602392,0.3987756421168645,0.3333333333333333,0.0,,0.08389925117848211,-0.08472518026246689,0.16647247656627864,-0.10710354173594776,0.6459735561821398,0.6344406406084696,0.6459735561821398,0.6344406406084696,0.6344406406084696,1.0,0.0,,-0.04424418011394634,0.10405189161732172,0.14762159410708542,-0.11270686745410785,0.671053229971244,0.6029683152834574,0.671053229971244,0.6029683152834574,0.5444403290748596,0.6666666666666666,0.0,,-0.019367611192375067,0.0710912464807431,0.18461462586333569,-0.15325018701454005,0.6475635034661447,0.6312636931737264,0.6475635034661447,0.6312636931737264,0.6312636931737264,1.0,0.0,,-0.04265423282994144,0.10087494418257847,0.1492115413910903,-0.11588381488885109,0.04210371190538542,0.06718338569448956,0.04369365918939028,-0.06597017745176958,-0.09744250277678179,-0.06914712488651276,0.04210371190538542,0.06718338569448956,0.04369365918939028,-0.06597017745176958,-0.09744250277678179,-0.06914712488651276,0.3097112860892388,0.32545931758530183,0.3097112860892388,0.13648293963254596,381
sub-09,SD->NS,ses-2->ses-1,0.4461942257217848,0.0,0.4803149606299213,0.034120734908136496,0.46981627296587924,0.023622047244094446,0.4776902887139108,0.031496062992125984,0.4779693486590038,0.0,0.4828002665333999,0.004830917874396101,0.4703898050974513,-0.007579543561552493,0.48038480759620183,0.002415458937198023,0.5800462912470765,0.0,0.47252930010002303,-0.10751699114705349,0.45162693853016195,-0.12841935271691457,0.4712377948715099,-0.10880849637556661,0.2330501415958687,0.0,0.4551890721306014,0.2221389305347327,0.459103781442612,0.2260536398467433,0.4551057804431118,0.22205563884724308,0.05613742123038837,0.9895974953969319,0.050022434100822084,0.9895974953969319,0.9895974953969319,1.0,0.0,,-0.5716739951824464,0.33433304422845445,-0.5307130646668915,0.29392987495909134,0.6926358544477823,0.514055918653806,0.6464632354252852,0.6150120685497921,0.48814385433991747,0.5333333333333333,0.0,,0.0002837715828752548,-0.004545102377111698,0.1019845970820595,-0.11574811983543136,0.6842194622106362,0.5651553452014922,0.6178092894236302,0.6627686123053232,0.4724145233631134,0.39999999999999997,0.0,,-0.008182632782719764,0.046811325700643135,0.059325791954713734,-0.051481521649596594,0.6925160334943844,0.5164850254853567,0.6458601522441653,0.6168214619159699,0.48975288271904,0.5333333333333333,0.0,,0.0001639506294772349,-0.002115995545561115,0.10138151390093975,-0.11393872646925352,0.636498433217394,0.6280820409802479,0.6363786122639961,-0.4755415767431259,-0.4244421501954396,-0.4731124699115752,0.5964408013244631,0.5677868553228081,0.5958377181433432,-0.3745854268471398,-0.3268288830916086,-0.372776033480962,0.33858267716535434,0.3595800524934383,0.3359580052493438,0.11811023622047244,381
sub-10,SD->NS,ses-2->ses-1,0.6047619047619047,0.0,0.4761904761904762,-0.1285714285714285,0.48333333333333334,-0.12142857142857139,0.4785714285714286,-0.12619047619047613,0.6061781315914813,0.0,0.47553922569231816,-0.1306389058991631,0.4825814792134449,-0.12359665237803635,0.4778866435326938,-0.12829148805878748,0.5609915510919815,0.0,0.49706230385347533,-0.06392924723850618,0.5079552609162623,-0.0530362901757192,0.5001226843332106,-0.0608688667587709,0.6645573926651699,0.0,0.47982581479213443,-0.18473157787303546,0.4852010614411104,-0.17935633122405947,0.47730829420970267,-0.18724909845546722,0.6628298184057703,0.6117001672585806,0.6075719384963711,0.6720036288102468,0.49956957300504046,0.46666666666666673,0.0,,-0.025652881979500664,0.07580870063975449,-0.03699645538970479,0.05282614935810367,0.6899060370875563,0.5374141116937001,0.6121782604569064,0.6637482146422068,0.5263699074586232,0.6,0.0,,-0.00035096890921212004,0.002218941568086552,0.03321316176334608,-0.02574311740075545,0.6895011455899134,0.540839825073878,0.6288395367652527,0.6281256576379141,0.521204004685084,0.4000000000000001,0.0,,0.0023724970937247423,-0.005468754625568802,0.03072351131793738,-0.03903879333908363,0.6888537735745356,0.5429905970891317,0.6106818876827186,0.664947497844696,0.530504024028778,0.6,0.0,,-0.0014032324222327253,0.007795426963518093,0.03171678898915814,-0.02454383419826626,0.027076218681786002,0.026671327184143112,0.026023955168765323,-0.07428605556488044,-0.07086034218470261,-0.0687095701694489,0.004606321960535231,0.021267598268881582,0.0031099491863474382,-0.008255414168039987,-0.04387797117233272,-0.0070561309655508,0.2714285714285714,0.2738095238095238,0.2738095238095238,0.12857142857142856,420
