subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-01,0,tent_literal,metadata_order,0.4634146341463415,0.4613526570048309,0.42105263157894735,0.4782608695652174,123,54,60,"[[33, 36], [30, 24]]"
sub-02,0,tent_literal,metadata_order,0.5373134328358209,0.5363839285714286,0.515625,0.49955357142857143,134,64,64,"[[39, 31], [31, 33]]"
sub-03,0,tent_literal,metadata_order,0.45454545454545453,0.4545988258317025,0.4507042253521127,0.43639921722113506,143,70,72,"[[33, 40], [38, 32]]"
sub-04,0,tent_literal,metadata_order,0.4090909090909091,0.21774193548387097,0.5806451612903226,0.2661290322580645,66,62,31,"[[0, 4], [35, 27]]"
sub-05,0,tent_literal,metadata_order,0.5833333333333334,0.5831228473019517,0.5925925925925926,0.529276693455798,132,67,68,"[[37, 28], [27, 40]]"
sub-06,0,tent_literal,metadata_order,0.45652173913043476,0.46157094594594594,0.4755244755244755,0.4736064189189189,138,64,79,"[[29, 45], [30, 34]]"
sub-07,0,tent_literal,metadata_order,0.5419847328244275,0.5401493930905695,0.5714285714285714,0.4992997198879552,131,68,72,"[[31, 32], [28, 40]]"
sub-08,0,tent_literal,metadata_order,0.5354330708661418,0.5331265508684864,0.4778761061946903,0.47419354838709676,127,62,51,"[[41, 24], [35, 27]]"
sub-09,0,tent_literal,metadata_order,0.5039370078740157,0.5049975012493754,0.4878048780487805,0.49325337331334335,127,58,65,"[[34, 35], [28, 30]]"
sub-10,0,tent_literal,metadata_order,0.44285714285714284,0.4435599101857522,0.417910447761194,0.49377423964074296,140,71,63,"[[34, 35], [43, 28]]"
sub-11,0,tent_literal,metadata_order,0.4846153846153846,0.484375,0.49624060150375937,0.48934659090909094,130,66,67,"[[30, 34], [33, 33]]"
sub-12,0,tent_literal,metadata_order,0.5203252032520326,0.5159489633173844,0.562962962962963,0.513290802764487,123,66,69,"[[26, 31], [28, 38]]"
sub-13,0,tent_literal,metadata_order,0.49645390070921985,0.4963768115942029,0.4892086330935252,0.5233494363929146,141,69,70,"[[36, 36], [35, 34]]"
sub-14,0,tent_literal,metadata_order,0.5035460992907801,0.5037223340040241,0.5138888888888888,0.5028169014084507,141,70,74,"[[34, 37], [33, 37]]"
sub-15,0,tent_literal,metadata_order,0.5136986301369864,0.5136986301369864,0.5234899328859061,0.49427659973728655,146,73,76,"[[36, 37], [34, 39]]"
sub-16,0,tent_literal,metadata_order,0.47586206896551725,0.47612252663622523,0.45714285714285713,0.4699391171993912,145,73,67,"[[37, 35], [41, 32]]"
sub-17,0,tent_literal,metadata_order,0.4383561643835616,0.4383561643835616,0.4057971014492754,0.44717583036216924,146,73,65,"[[36, 37], [45, 28]]"
sub-18,0,tent_literal,metadata_order,0.5314685314685315,0.5287671232876712,0.45528455284552843,0.5178082191780823,143,70,53,"[[48, 25], [42, 28]]"
sub-19,0,tent_literal,metadata_order,0.4583333333333333,0.45833333333333337,0.417910447761194,0.4403935185185185,144,72,62,"[[38, 34], [44, 28]]"
sub-20,0,tent_literal,metadata_order,0.5104895104895105,0.5054837446141794,0.4166666666666667,0.4392871132001567,143,69,51,"[[48, 26], [44, 25]]"
sub-21,0,tent_literal,metadata_order,0.4881889763779528,0.48759920634920634,0.5255474452554745,0.46999007936507936,127,64,73,"[[26, 37], [28, 36]]"
sub-22,0,tent_literal,metadata_order,0.541095890410959,0.5410958904109588,0.54421768707483,0.5370613623569149,146,73,74,"[[39, 34], [33, 40]]"
sub-23,0,tent_literal,metadata_order,0.4797297297297297,0.4797297297297297,0.5032258064516129,0.4821037253469686,148,74,81,"[[32, 42], [35, 39]]"
sub-24,0,tent_literal,metadata_order,0.4295774647887324,0.43194444444444446,0.509090909090909,0.46686507936507937,142,70,95,"[[19, 53], [28, 42]]"
sub-25,0,tent_literal,metadata_order,0.4931506849315068,0.4931506849315068,0.5131578947368421,0.510790016888722,146,73,79,"[[33, 40], [34, 39]]"
sub-26,0,tent_literal,metadata_order,0.5374149659863946,0.537578674564976,0.5277777777777778,0.5129581636430952,147,74,70,"[[41, 32], [36, 38]]"
